AuditableRequestId,CreatedDateTime,EffectiveDate,ExpirationDate,Number,QuoteId,TotalPremium,address[0].StateOrProvinceCode,insured.Address.City,insured.Address.CountryCode,insured.Address.Line1,insured.Address.PostalCode,insured.Address.StateOrProvinceName,insured.Business.NAICS,insured.Business.SIC,insured[0].Address.City,insured[0].Address.CountryCode,insured[0].Address.Line1,insured[0].Address.Line2,insured[0].Address.PostalCode,insured[0].Address.StateOrProvinceName,insured[0].CountryCode,insured[0].GivenName,insured[0].Surname,location.StateOrProvinceCode,producer.FullName,quoteId
,2024-02-01 13:49:32.040,2023-12-18 00:00:00,2024-12-18 00:00:00,,152,,NY,Blue Point,+1 ,street,11715,NY,,,Blue Point,+1 ,street,,11715,NY,+1 ,sam,william,NY,IMS_Test,152
,2024-02-01 13:54:06.290,2023-12-18 00:00:00,2024-12-18 00:00:00,,153,,NY,Blue Point,+1 ,street,11715,NY,,,Blue Point,+1 ,street,,11715,NY,+1 ,urban,company,NY,IMS_Test,153
,2024-02-01 13:57:56.910,2023-12-18 00:00:00,2024-12-18 00:00:00,,154,,NY,Blue Point,+1 ,street,11715,NY,,,Blue Point,+1 ,street,,11715,NY,+1 ,urban,top,NY,IMS_Test,154
,2024-02-01 15:28:15.337,2024-02-01 00:00:00,2025-02-01 00:00:00,,155,,NY,NEW YORK,USA,300 PARK AVE,10022,NY,,,NEW YORK,USA,300 PARK AVE,,10022,NY,USA,"IRI INNOVATIVE RESOURCES FOR INDEPENDENCE, INC.",,NY,IMS_Test,155
,2024-02-01 17:28:25.097,2024-02-01 00:00:00,2025-02-01 00:00:00,,156,,NY,NEW YORK,USA,300 PARK AVE,10022,NY,,,NEW YORK,USA,300 PARK AVE,,10022,NY,USA,"IRI INNOVATIVE RESOURCES FOR INDEPENDENCE, INC.",,NY,IMS_Test,156
True,2024-02-01 18:17:44.460,2024-02-01 18:18:00,2025-02-01 18:18:00,,157,,NY,Brooklyn,USA,123,11225,NY,,,Brooklyn,USA,123,street,11225,NY,USA,sam,will,NY,IMS_Test,157
True,2024-02-01 18:46:26.923,2024-02-01 18:46:00,2025-02-01 18:46:00,,158,,NY,Brooklyn,USA,183 Blvd Empire,11225,NY,,,Brooklyn,USA,183 Blvd Empire,,11225,NY,USA,erik,will,NY,IMS_Test,158
,2024-02-01 19:05:13.767,2024-02-01 00:00:00,2025-02-01 00:00:00,,159,,NY,BROOKLYN,USA,183 EMPIRE BLVD,11225,NY,,,BROOKLYN,USA,183 EMPIRE BLVD,,11225,NY,USA,WC INSURED,,NY,IMS_Test,159
,2024-02-01 20:37:09.270,2024-02-01 00:00:00,2025-02-01 00:00:00,,160,,NY,BROOKLYN,USA,183 EMPIRE BLVD,11225,NY,,,BROOKLYN,USA,183 EMPIRE BLVD,,11225,NY,USA,auto,,NY,IMS_Test,160
,2024-02-02 11:18:26.330,2024-02-01 00:00:00,2025-02-01 00:00:00,,161,,NY,STATEN ISLAND,USA,16 PINE STREET,10301,NY,,,STATEN ISLAND,USA,16 PINE STREET,,10301,NY,USA,THE INSTITUTES OF APPLIED HUMAN DYNAMICS INC_1624,,NY,IMS_Test,161
,2024-02-05 12:22:47.643,2024-02-05 00:00:00,2025-02-05 00:00:00,,162,,NY,BROOKLYN,USA,183 EMPIRE BLVD,11225,NY,,,BROOKLYN,USA,183 EMPIRE BLVD,,11225,NY,USA,THE INSTITUTES OF APPLIED HUMAN DYNAMICS INC,,NY,IMS_Test,162
,2024-02-05 12:31:44.373,2024-02-05 00:00:00,2025-02-05 00:00:00,,163,,NY,BROOKLYN,USA,183 EMPIRE BLVD,11225,NY,,,BROOKLYN,USA,183 EMPIRE BLVD,,11225,NY,USA,THE INSTITUTES OF APPLIED HUMAN DYNAMICS INC_2,,NY,IMS_Test,163
,2024-02-05 14:06:57.317,2024-02-05 00:00:00,2025-02-05 00:00:00,,164,,NY,MELVILLE,USA,125 BAYLIS RD,11747,NY,,,MELVILLE,USA,125 BAYLIS RD,,11747,NY,USA,3M_33 INC,,NY,IMS_Test,164
,2024-02-05 14:08:57.373,2024-02-05 00:00:00,2025-02-05 00:00:00,,165,,NY,MELVILLE,USA,125 BAYLIS RD,11747,NY,,,MELVILLE,USA,125 BAYLIS RD,,11747,NY,USA,3M_33 INC,,NY,IMS_Test,165
,2024-02-05 14:13:46.010,2024-02-05 00:00:00,2025-02-05 00:00:00,,166,,NY,MELVILLE,USA,125 BAYLIS RD,11747,NY,,,MELVILLE,USA,125 BAYLIS RD,,11747,NY,USA,3M_33 INC,,NY,IMS_Test,166
