Product Name,Policy ID,Payment Schedule Name,Exposure ID,Exposure Name,Peril ID,Peril Name,Issued Date,Premium,Indemnity per Item,Indemnity per Event,Indemnity in Aggregate,Lump Sum Payment,Deductible,Coverage Start,Coverage End,Modification Name,Exposure vehicle_type,Exposure body_style,Exposure motorcycle_cc,Exposure vin,Exposure year,Exposure make,Exposure model,Exposure vehicle_value,Exposure unrepaired_damage,Exposure ownership_indicator,Exposure vehicle_plated_state,Exposure license_plate,Exposure annual_miles,Exposure primary_vehicle_use,Exposure travel_radius,Exposure travel_radius_farm,Exposure distance_to_work_school,Policy channel,Policy multiple_drivers,Policy drivers 1 driver_firstname,Policy drivers 1 driver_lastname,Policy drivers 1 driver_license,Policy drivers 1 driver_license_state,Policy drivers 1 driver_designation,Policy drivers 2 driver_firstname,Policy drivers 2 driver_lastname,Policy drivers 2 driver_license,Policy drivers 2 driver_license_state,Policy drivers 2 driver_designation,Policy 10_year_felony_conviction,Policy insurance_fraud_conviction,Policy atfault_claims_past_5_years,Policy run_third_party_reports
Workers Compensation,100003244,quarterly_reporting,100003266,policy-level,100003272,employers-liability,20230809,175.00,1000000.00,1000000.00,1000000.00,,1000.00,20230809,20240809,modification.policy.create,,,,,,,,,,,,,,,,,,Direct,,,,,,,,,,,,,,,
Workers Compensation,100003244,quarterly_reporting,100003154,work-cover,100003280,class-code,20230809,4360.50,,,,,,20230809,20240809,modification.policy.create,,,,,,,,,,,,,,,,,,Direct,,,,,,,,,,,,,,,
Workers Compensation,100003244,quarterly_reporting,100003266,policy-level,100003276,terrorism,20230809,13000.00,50000.00,100000.00,100000.00,,1000.00,20230809,20240809,modification.policy.create,,,,,,,,,,,,,,,,,,Direct,,,,,,,,,,,,,,,
Workers Compensation,100003244,quarterly_reporting,100003266,policy-level,100003274,specific-waiver-of-subrogation,20230809,750.00,1000000.00,1000000.00,1000000.00,,1000.00,20230809,20240809,modification.policy.create,,,,,,,,,,,,,,,,,,Direct,,,,,,,,,,,,,,,
Workers Compensation,100003244,quarterly_reporting,100003154,work-cover,100003156,class-code,20230809,180.50,,,,,,20230809,20240809,modification.policy.create,,,,,,,,,,,,,,,,,,Direct,,,,,,,,,,,,,,,
Workers Compensation,100003244,quarterly_reporting,100003266,policy-level,100003268,blanket-waiver-of-subrogation,20230809,1200.00,1000000.00,1000000.00,1000000.00,,,20230809,20240809,modification.policy.create,,,,,,,,,,,,,,,,,,Direct,,,,,,,,,,,,,,,
Workers Compensation,100003244,quarterly_reporting,100003266,policy-level,100003270,catastrophe,20230809,13000.00,50000.00,100000.00,100000.00,,1000.00,20230809,20240809,modification.policy.create,,,,,,,,,,,,,,,,,,Direct,,,,,,,,,,,,,,,
Workers Compensation,100003204,monthly_reporting,100003602,work-cover,100003604,class-code,20230810,6563288.66,1000000.00,1000000.00,1000000.00,,1000.00,20230809,20240809,modification.policy.create,,,,,,,,,,,,,,,,,,Broker,,,,,,,,,,,,,,,
Personal Auto,100265316,upfront,100265190,vehicle,100265198,roadside_service,20231017,25.00,0.00,150.00,0.00,0.00,0.00,20231017,20241017,modification.policy.create,SUV,,,2HGEJ6526VH515429,1997,HONDA,Civic,90000,,Owned - Financed,AL,,,Drive to Work / School,,,Less than 10 Miles,Agent,No - Just Policyholder,,,,,,,,,,,No,No,1,Yes - Please Run Reports - To Provide the Best Quote
Personal Auto,100265316,upfront,100265190,vehicle,100265194,collision,20231017,1178.00,,unlimited,0.00,0.00,1000.00,20231017,20241017,modification.policy.create,SUV,,,2HGEJ6526VH515429,1997,HONDA,Civic,90000,,Owned - Financed,AL,,,Drive to Work / School,,,Less than 10 Miles,Agent,No - Just Policyholder,,,,,,,,,,,No,No,1,Yes - Please Run Reports - To Provide the Best Quote
