MGA,Program Name,Issuing Company,Full policy number,Policy Effective Date,Policy Expiration Date,Insured Name,Insured Address,Insured City,Insured State,Insured Zip,Transaction Effective Date,Transaction Expiration Date,Premium,Terrorism Premium,Total Gross Premium including Terrorism,Commission amount,Net Premium,Surcharge amount,Surcharge type,Tax Amount,Tax Type,Fee Amount,Fee Type,Payment terms,Book or Process Date,Policy Type,Transaction Type,Primary/Excess Indicator,Attachment Point,CM/Occ Indicator,Retroactive date,Risk/Location #,Risk/Location Address,Risk/Location City,Risk/Location State,Risk/Location Zip,Risk/Location premium,Technical Price,IRPM (Individual Risk Premium Modification),Exposure Type,Exposure Amount,Policy Occurrence Limit,Policy Aggregate Limit,SIR/Deductible indicator,SIR/Deductible amount,SIR/Deductible type,NAICS or SIC Code,Annual Statement Line Code,Annual Statement Line Description,Expiring Policy Number,Issue Date,Policy Event Number,Companion policy number,Carrier %,Carrier Limit,Broker/Agent,Broker/Agent Address,Broker/Agent City,Broker/Agent State,Broker/Agent Zip,Direct/Assumed,Fac?,Fac Reinsurance Attachment point,Damage to Premises Rented to you Limit,Medical Expense Limit Included,Medical Expense Limit,Personal and Advertising Injury Limit,Products/Completed Operations Aggregate Limit,2nd Layer Deductible - Per Occurrence,2nd Layer Deductible Aggregate,Stop Gap Limit,Employee Benefits Limit,Rate Per Member,Endorsement number,Ceded Fac Reinsurance Carrier,Ceded Premium to Fac Reinsurance,Certificate number,Coverage Ceded to Fac Reinsurer,Home State,SL Tax Broker Company,SL Tax Broker Name,SL Tax Broker Address,SL Broker City,SL Broker State,SL Broker Zip,SL License Number,NJ Transaction Number,Coverage Code,Coverage Sub Code,CA Limit,MTC Limit,APD Limit,CA Deductible Amount,MTC Deductible Amount,APD Deductible Amount,Rating Class Code,Fleet Indicator,Fleet size,Hired Car,Non Owned,Drive Other Car,Vehicle Number,Coverage Symbol,Cost New,Vehicle Body Type,Vehicle Type,Radius Of Use,Business Use Class,Gross Vehicle Weight,Vehicle Make,Vehicle Model,Model Year,Axel count,Vehicle Identification Number,Tractor GCW,Cost of Hire,Specialized Vehicle Type,"Vehicle Number of Seats, Seating Capacity",Occupancy,Class Code,Class Code Description,100% Limit,Building Value,Coinsurance,Building Valuation,Agreed Value,Contents Value,BI/Rental Income Value,Other Structure Limit,TIV,Construction,Year Built,# of Stories,Square Footage,AOP Deductible,AOP Limit,Flood Limit,Flood % Deductible,Flood Deducible,Flood Zone,Earthquake Limit,Earthquake % Deductible,Earthquake Deductible,Earthquake Zone,Wind Limit,Wind Deductible,Wind % Deducible,Equipment Breakdown Limit,Equipment Breakdown Deductible,Protection Class,100% Smoke Detectors,Sprinkler Protection Type Code,Percentage of sprinkler coverage,Breach of Privacy Event,Data and software loss,Network service failure liabilities,Business interruption,Contingent Business Interruption,Incident Response Costs,Regulatory and defense coverage,product and operations liability,liability (Tech E&O),Liability (Professional Services),Liability (Directors and Officers),Media,Financial Theft and fraud,Reputational Damages,Cyber Extortion,Intellectual Property Theft
Arrowhead General Insurance Agency Inc,Arrowhead ES Primary General Liability,TSIC,TSAHGL0000025-00,06/25/2023,06/17/2024,Rego Realty Corporation,154 WESTLAND ST,HARTFORD,CT,6120,08/04/2023,06/17/2024,500,15.0,515,87.55,427.45,0.0,,0,,0,,Agent Statement Bill Full Pay,8/7/2023,New Business,Endorsement,Primary,,Occurrence,,1.0,154 WESTLAND ST,HARTFORD,CT,6120,500.0,0,0.0,0,0,1000000.0,2000000,Deductible,25000.0,Per Occurrence,6531.0,17.1001,All Other Liability Occurrence,,8/7/2023,0-5,,100.0,2000000.0,RSG Specialty LLC,"5565 Glenridge Connector, Suite 550",Atlanta,GA,30342.0,Direct,N,,100000.0,NO,0.0,1000000.0,2000000.0,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plimsoll Specialty Markets LLC,Non Admitted,Transverse Specialty Insurance Company,TSAHGL0000043-00,07/31/2023,07/31/2024,TVC1 LLC,3540 N GRAPEVINE MILLS BLVD,GRAPEVINE,TX,76051,07/31/2023,07/31/2024,0,0.0,0,0.0,0.0,,,$0.00 ,Non Admitted,-100,Policy Fee,,8/25/2023,Cancellation,Unapply,,0.0,,,0.0,3540 N GRAPEVINE MILLS BLVD,GRAPEVINE,TX,76051,0.0,7268,,,"500,000",750000.0,"$2,000,000",,10000.0,Per Claim,5813.0,,,,8/25/2023,0-10,,,,"Peachtree Special Risk Brokers, LLC",11405 North Community House Rd #100,Charlotte,NC,28277.0,,,,50000.0,YES,5000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3C63RPGL2FG591908,,,,Truck,0.9655,,"Medium Trucks (10,000 - 20,000)",RAM,3500,2015.0,,3C63RPGL2FG591908,,,Truck,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marsh USA Chicago, Inc., ",,Transverse Insurance Company,TSAHGL0000044-00,08/02/2023,08/02/2024,"Gateway Commons HomeownerÂs Association, Inc.",6153 N CEYLON ST,DENVER,CO,80249,08/02/2023,08/02/2024,-500,-15.0,-515,-87.55,-427.45,,,,,100,False,,8/2/2023,Endorsement,New Business,,,,,,14142 DENVER WEST PKWY,LAKEWOOD,CO,80401,-500.0,1352,,Gross Sales,"1,500,000",,,,5000.0,,1522.0,,,,8/2/2023,0-6,,,,Amwins Insurance Brokerage LLC,3630 Peachtree Rd. NE Suite 1700,ATLANTA,PA,30326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3AKJHHDR8KSJZ3467,,,,,1.434,,"Extra Heavy Trucks (45,001+)",FREIGHTLINER,CASCADIA,2019.0,,3AKJHHDR8KSJZ3467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsh & McLennan Agency,,,TSAHGL0000045-00,08/05/2023,08/05/2024,"Rivergate KW Management, LLC",9480 GATEWAY DR STE 101,RENO,NV,89521,08/05/2023,08/05/2024,5750,,5750,977.5,4772.5,,,,,1000,,,8/8/2023,,Cancellation,,,,,,8200 NW 33RD ST STE 303,DORAL,FL,33122,5750.0,41357,,Units,20,,,,,,1721.0,,,,8/8/2023,0-1,,,,"CRC Insurance Services, Inc","5555 Triangle Pkwy., Suite 400",Norcross,TX,30092.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1FUPCDZB8XPA09852,,,,,0.83,,"Heavy Trucks (20,000 - 45,000)",FORD,CLASSIC,2003.0,,1FUPCDZB8XPA09852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travers & Associates,,,TSAHGL0000046-00,08/09/2023,07/01/2024,Scion Group LLC,401 N MICHIGAN AVE STE 400,CHICAGO,IL,60611,08/09/2023,07/01/2024,14250,25.11,14250,2422.5,11827.5,,,,,8250,,,8/30/2023,,CN,,,,,,2001 COPPER BEECH WAY,GREENVILLE,NC,27858,14250.0,7708,,Area,"5,736",,,,,,1761.0,,,,8/30/2023,ASC-8398701-00,,,,"CRC Insurance Services, Inc.","1650 Arch St, ste 2600",PHILADELPHIA,AL,19103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1FD8W3HT4EEA34613,,,,,0.8975,,UNKNOWN,PETERBILT,F350,2014.0,,1FD8W3HT4EEA34613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wings Insurance ,,,TSAHGL0000047-00,08/16/2023,08/16/2024,"Cahill Contracting, LLC",1524 APPLING DR,MOUNT PLEASANT,SC,29464,08/16/2023,08/16/2024,10000,4924.92,10000,1700.0,8300.0,,,,,2500,,,8/15/2023,,EN,,,,,,3727 MEETING STREET RD,NORTH CHARLESTON,SC,29405,10000.0,31415,,2.0,"6,566,541",,,,,,,,,,8/15/2023,ASC-7563080-00,,,,Dave McKenzie,"12404 Park Central Drive, Suite 380",Dallas,GA - Atlanta,75251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1XPBD49X7HD409703,,,,,1.378,,,Freightliner,579,2017.0,,1XPBD49X7HD409703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Halton Hall & Associates, Inc.",,,TSAHGL0000048-00,08/19/2023,08/19/2024,RT Masonry Inc,626 1/2 BARRINGER LN STE F,WEBSTER,FL,77598,08/19/2023,08/19/2024,837,1339.5,5787,983.79,4803.21,,,,,2150,,,8/21/2023,,NB,,,,,,626 1/2 BARRINGER LN STE F,WEBSTER,GA,77598,837.0,49862,,1.0,439,,,,,,,,,,8/21/2023,ASC-1479166-00,,,,Brendan Patton,"One Metro Plex, Suite 400",Birmingham,IL - Chicago,35209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3C6UR5CL5KG719759,,,,,1.533,,,INT'L,2500,2018.0,,3C6UR5CL5KG719759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Avion Insurance Agency, Inc",,,TSAHGL0000049-00,08/29/2023,07/15/2024,"Premium Painting Services, Inc.",120 E STORY RD,WINTER GARDEN,NY,34787,08/29/2023,07/15/2024,164164,,169114,28749.38,140364.62,,,,,4000,,,01-05-2023,,,,,,,,120 E STORY RD,WINTER GARDEN,CA,34787,164164.0,15631,,4.0,4300000,,,,,,,,,,,ASC-2577915-00,,,,Denise Stevens ,3330 Cumberland Blvd,GA - Atlanta,KS - Overland Park,30339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ALACWFCXJDJL8139,,,,,1.633,,,KENWORTH,M2,2022.0,,3ALACWFCXJDJL8139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Abrahamsen,,,TSAHGL0000050-00,14-09-2022,14-09-2023,"J Sterling Quality Roofing, Inc.",300 STERLING PLAZA DR STE 301,PONTE VEDRA,AK,32081,01-05-2023,14-09-2023,44650,,45989,7818.13,38170.87,,,,,3750,,,02-05-2023,,,,,,,,300 STERLING PLAZA DR STE 301,PONTE VEDRA,PA,32081,44650.0,215088,,7.0,"10,000,000",,,,,,,,,,,ASC-9552477-00,,,,Madison Clipp,540 West Madison St,IL - Chicago,MO - Saint Louis,60661.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1HTMMAAL5FH575082,,,,,1.2925,,,HINO,4300M7,2020.0,,1HTMMAAL5FH575082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TSBAAC 0000002-00,01-05-2023,01-05-2024,3D Aviation Inc,3106 Town and Country Road,E FARMINGDALE,UT,39845,26-04-2023,01-05-2024,43000,,43000,7310.0,35690.0,,,,,15400,,,03-05-2023,,,,,,,,3106 Town and Country Road,,ID,39845,43000.0,"$3,185.38 ",,3.0,"4,318,000",,,,,,,,,,,ASC-4124782-00,,,,Zena Dukes,7015 College Blvd,KS - Overland Park,MN - Eden Prairie,66211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3C6UR5FL2JG258305,,,,,1.535,,,GMC\CHEVY,T680,2016.0,,3C6UR5FL2JG258305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
