CustomerID,CustomerName,PolicyID,PolicyType,PolicyPremium,PolicyStartDate,PolicyEndDate,NumberOfEmployees,BusinessIndustry,AnnualRevenue,PaymentMethod,ClaimsCount,DurationInMonths,Churn
1,William Pruitt,1001,General Liability,4370.861069626262,2020-01-31,2021-01-31,47,Construction,408623,Credit Card,3,12,0
2,Michael Short,1002,General Liability,9556.428757689246,2020-02-29,2021-02-28,12,Retail,3747371,Cheque,3,12,0
3,Mr. Tommy Johnson PhD,1003,General Liability,7587.945476302646,2020-03-31,2021-03-31,62,Construction,3396903,Credit Card,3,12,0
4,Jennifer Jenkins,1004,General Liability,6387.926357773329,2020-04-30,2021-04-30,80,Construction,9679010,Credit Card,1,12,0
5,Eric Taylor,1005,General Liability,2404.1677639819286,2020-05-31,2021-05-31,88,Retail,6098223,Cheque,3,12,1
6,Charles Austin,1006,General Liability,2403.9506830258238,2020-06-30,2021-06-30,83,Retail,1247116,ACH Transfer,2,12,1
7,Alison Meadows,1007,General Liability,1522.7525095137953,2020-07-31,2021-07-31,8,Construction,3872763,Credit Card,0,12,1
8,Carl Valenzuela,1008,General Liability,8795.585311974417,2020-08-31,2021-08-31,95,Consulting,6578450,ACH Transfer,2,12,0
9,Charles Knox,1009,General Liability,6410.035105688879,2020-09-30,2021-09-30,21,Retail,410375,Cheque,2,12,0
10,David Kaiser,1010,General Liability,7372.653200164409,2020-10-31,2021-10-31,81,Manufacturing,2226453,Credit Card,0,12,0
11,Brandi Olson,1011,General Liability,1185.260448662222,2020-11-30,2021-11-30,87,Technology,1371300,Cheque,2,12,0
12,Patricia Avila,1012,General Liability,9729.18866945795,2020-12-31,2021-12-31,80,Construction,5338631,ACH Transfer,1,12,0
13,Jennifer Knight,1013,General Liability,8491.983767203796,2021-01-31,2022-01-31,70,Construction,3942411,Cheque,0,12,1
14,Jennifer Alexander,1014,General Liability,2911.0519961044856,2021-02-28,2022-02-28,72,Technology,6410208,Cheque,2,12,1
15,Austin Myers,1015,General Liability,2636.4247048639054,2021-03-31,2022-03-31,25,Consulting,9504024,Credit Card,4,12,0
16,Holly Becker,1016,General Liability,2650.6405886809043,2021-04-30,2022-04-30,82,Technology,6227764,Cheque,2,12,0
17,Ellen Davis,1017,General Liability,3738.1801866358396,2021-05-31,2022-05-31,89,Retail,5959046,Cheque,1,12,0
18,Katelyn Middleton,1018,General Liability,5722.807884690141,2021-06-30,2022-06-30,12,Technology,6134207,Cheque,3,12,1
19,Miss Casey Miranda,1019,General Liability,4887.505167779042,2021-07-31,2022-07-31,15,Construction,8040879,Credit Card,2,12,1
20,Diane Nelson,1020,General Liability,3621.0622617823774,2021-08-31,2022-08-31,59,Technology,3441861,ACH Transfer,3,12,0
21,Scott Ray,1021,General Liability,6506.676052501415,2021-09-30,2022-09-30,26,Manufacturing,7459201,ACH Transfer,4,12,0
22,Jared Ross,1022,General Liability,2255.4447458683762,2021-10-31,2022-10-31,26,Retail,2715804,Cheque,2,12,1
23,Ian West,1023,General Liability,3629.3018368169633,2021-11-30,2022-11-30,47,Technology,4412717,Credit Card,0,12,0
24,Jon Stanley DDS,1024,General Liability,4297.256589643225,2021-12-31,2022-12-31,32,Construction,2082243,Cheque,3,12,0
25,Anthony Walters,1025,General Liability,5104.629857953323,2022-01-31,2023-01-31,10,Retail,3513654,ACH Transfer,4,12,1
26,Guy Andrade,1026,General Liability,8066.583652537122,2022-02-28,2023-02-28,16,Construction,6086417,Credit Card,0,12,0
27,Jared Mcdaniel,1027,General Liability,2797.0640394252378,2022-03-31,2023-03-31,71,Consulting,7963020,ACH Transfer,0,12,0
28,Casey Wilkerson,1028,General Liability,5628.109945722505,2022-04-30,2023-04-30,17,Manufacturing,3370209,ACH Transfer,0,12,0
29,Christopher Edwards,1029,General Liability,6331.731119758382,2022-05-31,2023-05-31,23,Consulting,8704008,Credit Card,0,12,0
30,Jimmy Khan,1030,General Liability,1418.0537144799796,2022-06-30,2023-06-30,26,Manufacturing,7423988,Credit Card,2,12,1
31,Andrea Jones,1031,General Liability,6467.903667112945,2022-07-31,2023-07-31,85,Technology,3424664,Cheque,2,12,0
32,James Jacobs,1032,General Liability,2534.717113185624,2022-08-31,2023-08-31,86,Retail,8310880,Cheque,2,12,1
33,Robin Moreno,1033,General Liability,1585.4643368675156,2022-09-30,2023-09-30,7,Technology,3694058,ACH Transfer,4,12,0
34,Danny Lopez,1034,General Liability,9539.969835279999,2022-10-31,2023-10-31,14,Manufacturing,4684258,Credit Card,4,12,0
35,Virginia Schultz,1035,General Liability,9690.688297671035,2022-11-30,2023-11-30,79,Manufacturing,8217654,Credit Card,4,12,0
36,George Davis,1036,General Liability,8275.576133048151,2022-12-31,2023-12-31,7,Manufacturing,4312377,Cheque,1,12,0
37,Daniel Floyd,1037,General Liability,3741.5239225603364,2023-01-31,2024-01-31,9,Construction,9733233,ACH Transfer,4,12,0
38,Carl Walker,1038,General Liability,1879.0490260574547,2023-02-28,2024-02-28,48,Retail,333782,ACH Transfer,2,12,0
39,David Cameron,1039,General Liability,7158.097238609412,2023-03-31,2024-03-31,72,Technology,7006117,Cheque,2,12,0
40,Joseph Henderson,1040,General Liability,4961.372443656412,2023-04-30,2024-04-30,59,Technology,6212674,Credit Card,1,12,0
41,Richard Rice,1041,General Liability,2098.3441136030096,2023-05-31,2024-05-31,87,Consulting,4909109,Cheque,1,12,0
42,Julie Smith,1042,General Liability,5456.592191001431,2023-06-30,2024-06-30,93,Manufacturing,3835466,Cheque,4,12,0
43,Reginald Hernandez,1043,General Liability,1309.4966900369654,2023-07-31,2024-07-31,82,Manufacturing,1683246,Cheque,3,12,0
44,Michael Garcia,1044,General Liability,9183.883618709038,2023-08-31,2024-08-31,95,Manufacturing,826331,Cheque,1,12,0
45,Lindsey Murray,1045,General Liability,3329.0198344001524,2023-09-30,2024-09-30,94,Technology,1894291,Credit Card,0,12,0
46,Terry Baker,1046,General Liability,6962.700559185838,2023-10-31,2024-10-31,39,Consulting,6453385,Cheque,2,12,0
47,Makayla Luna,1047,General Liability,3805.3996848046986,2023-11-30,2024-11-30,99,Construction,5052075,Credit Card,0,12,0
48,Susan Oconnor,1048,General Liability,5680.612190600297,2023-12-31,2024-12-31,18,Retail,3998606,Cheque,2,12,0
