quoteId,claimId,customerId,customerName,givenName,surname,cancelReasonDescription,controllingStateOrProvinceCode,id,statusCode,parentEntityId,parentEntityTypeName,lineOfBusinessCode,number,totalPremium,effectiveDate,originalEffectiveDate,cancellationDate,expirationDate,RenewalDate,renewalPremium,numberOfEmployees,businessIndustry,annualRevenue,paymentMethod,claimsCount,claimAmount,durationInMonths,RenewalStatus
Q1001,C1001,1,Melissa Reed,Melissa,Reed,Cancellation due to non-payment,NY,1001,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,4370.86,2020-01-31,2022-11-04,2020-05-04,2021-01-31,,4233.24,57,Construction,4912691.8,ACH Transfer,1,3870.86,12,0
Q1002,C1002,2,Shelly Simmons,Shelly,Simmons,Cancellation due to non-payment,NY,1002,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,9556.43,2020-02-29,2022-11-04,,2021-02-28,2021-03-01,9596.47,72,Consulting,9215322.54,Credit Card,1,9056.43,12,1
Q1003,C1003,3,Amy Dudley,Amy,Dudley,Cancellation due to non-payment,NY,1003,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,7587.95,2020-03-31,2022-11-04,,2021-03-31,2021-04-01,7870.94,7,Construction,496585.28,ACH Transfer,0,7087.95,12,1
Q1004,C1004,4,James Gonzales,James,Gonzales,Cancellation due to non-payment,NY,1004,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,6387.93,2020-04-30,2022-11-04,,2021-04-30,2021-05-01,6536.27,78,Retail,2985463.04,Credit Card,1,5887.93,12,1
Q1005,C1005,5,Christina Walker,Christina,Walker,Cancellation due to non-payment,NY,1005,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,2404.17,2020-05-31,2022-11-04,,2021-05-31,2021-06-01,2477.87,56,Technology,2154655.27,ACH Transfer,1,1904.17,12,1
Q1006,C1006,6,Mr. Dennis Johnson Jr.,Mr.,Jr.,Cancellation due to non-payment,NY,1006,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,2403.95,2020-06-30,2022-11-04,,2021-06-30,2021-07-01,2442.12,67,Retail,2457651.87,Cheque,0,1903.95,12,1
Q1007,C1007,7,Jill Castro,Jill,Castro,Cancellation due to non-payment,NY,1007,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,1522.75,2020-07-31,2022-11-04,2021-07-02,2021-07-31,,1552.03,16,Manufacturing,9093502.06,ACH Transfer,1,1022.75,12,0
Q1008,C1008,8,Miss Priscilla Bradley,Miss,Bradley,Cancellation due to non-payment,NY,1008,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,8795.59,2020-08-31,2022-11-04,2021-07-26,2021-08-31,,9102.73,83,Manufacturing,4733883.64,Cheque,0,8295.59,12,0
Q1009,C1009,9,James Calderon,James,Calderon,Cancellation due to non-payment,NY,1009,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,6410.04,2020-09-30,2022-11-04,,2021-09-30,2021-10-01,6249.58,51,Manufacturing,4716364.19,ACH Transfer,1,5910.04,12,1
Q1010,C1010,10,John Thomas,John,Thomas,Cancellation due to non-payment,NY,1010,ACTIVE,ENTITY456,Business,General Liability,POLICY987654321,7372.65,2020-10-31,2022-11-04,2021-06-18,2021-10-31,,7364.85,82,Manufacturing,7629698.86,Cheque,0,6872.65,12,0
