customerId,customerName,id,lineOfBusinessCode,totalPremium,effectiveDate,cancellationDate,expirationDate,RenewalDate,renewalPremium,numberOfEmployees,businessIndustry,annualRevenue,paymentMethod,claimsCount,claimAmount,durationInMonths,RenewalStatus
1,Catherine Scott,1001,GL,4370.86,2020-01-31,2021-01-14,2021-01-31,,4233.24,57,Construction,4912691.8,ACH Transfer,1,3870.86,12,
2,Vanessa Guerra,1002,GL,9556.43,2020-02-29,,2021-02-28,2021-03-01,9596.47,72,Consulting,9215322.54,Credit Card,1,9056.43,12,
3,Tyler Davis,1003,GL,7587.95,2020-03-31,,2021-03-31,2021-04-01,7870.94,7,Construction,496585.28,ACH Transfer,0,7087.95,12,
4,Ryan Phillips,1004,GL,6387.93,2020-04-30,,2021-04-30,2021-05-01,6536.27,78,Retail,2985463.04,Credit Card,1,5887.93,12,
6,Carol Sullivan,1006,GL,2403.95,2020-06-30,,2021-06-30,2021-07-01,2442.12,67,Retail,2457651.87,Cheque,0,1903.95,12,
7,Pamela Lee,1007,GL,1522.75,2020-07-31,2020-11-27,2021-07-31,,1552.03,16,Manufacturing,9093502.06,ACH Transfer,1,1022.75,12,
8,Derek Johnston,1008,GL,8795.59,2020-08-31,2021-05-14,2021-08-31,,9102.73,83,Manufacturing,4733883.64,Cheque,0,8295.59,12,
9,Michele Harrison,1009,GL,6410.04,2020-09-30,,2021-09-30,2021-10-01,6249.58,51,Manufacturing,4716364.19,ACH Transfer,1,5910.04,12,
10,Joy Peters,1010,GL,7372.65,2020-10-31,2021-07-01,2021-10-31,,7364.85,82,Manufacturing,7629698.86,Cheque,0,6872.65,12,
11,Henry Mcdonald,1011,GL,1185.26,2020-11-30,2021-05-15,2021-11-30,,1152.22,80,Consulting,1629472.82,Credit Card,1,685.26,12,
12,Bethany York,1012,GL,9729.19,2020-12-31,,2021-12-31,2022-01-01,10203.65,72,Technology,4923927.01,ACH Transfer,1,9229.19,12,
13,Lindsey Pierce,1013,GL,8491.98,2021-01-31,,2022-01-31,2022-02-01,8869.07,97,Technology,4356853.62,Credit Card,1,7991.98,12,
14,Don Wong,1014,GL,2911.05,2021-02-28,,2022-02-28,2022-03-01,2776.97,12,Retail,6009415.84,Cheque,1,2411.05,12,
15,Kimberly Peterson,1015,GL,2636.42,2021-03-31,2021-10-09,2022-03-31,,2690.62,53,Construction,9995621.26,ACH Transfer,0,2136.42,12,
16,Gary Kim,1016,GL,2650.64,2021-04-30,,2022-04-30,2022-05-01,2763.36,75,Retail,7717544.05,ACH Transfer,0,2150.64,12,
17,Andrew Smith,1017,GL,3738.18,2021-05-31,2022-02-22,2022-05-31,,3618.77,5,Retail,4038870.46,Credit Card,0,3238.18,12,
18,Mark Hernandez,1018,GL,5722.81,2021-06-30,2021-11-06,2022-06-30,,5761.69,27,Retail,8292775.22,ACH Transfer,0,5222.81,12,
19,John Jackson,1019,GL,4887.51,2021-07-31,2022-04-13,2022-07-31,,5090.58,12,Retail,1790012.8,ACH Transfer,0,4387.51,12,
20,Kayla Robles,1020,GL,3621.06,2021-08-31,,2022-08-31,2022-09-01,3452.3,17,Technology,401590.49,Credit Card,0,3121.06,12,
21,Geoffrey Finley DDS,1021,GL,6506.68,2021-09-30,2022-02-14,2022-09-30,,6635.14,6,Construction,2124038.89,ACH Transfer,0,6006.68,12,
22,William Foster,1022,GL,2255.44,2021-10-31,,2022-10-31,2022-11-01,2209.73,97,Retail,3470074.41,Credit Card,1,1755.44,12,
23,Kelly Hobbs,1023,GL,3629.3,2021-11-30,,2022-11-30,2022-12-01,3783.33,5,Technology,5154749.5,Credit Card,1,3129.3,12,
24,Raymond Stewart,1024,GL,4297.26,2021-12-31,,2022-12-31,2023-01-01,4499.69,57,Retail,6189778.49,Credit Card,1,3797.26,12,
25,Tammy Harrison,1025,GL,5104.63,2022-01-31,,2023-01-31,2023-02-01,5331.41,28,Manufacturing,9114996.6,Credit Card,1,4604.63,12,
26,Rebecca Johnson,1026,GL,8066.58,2022-02-28,,2023-02-28,2023-03-01,8045.78,78,Retail,5147554.69,Credit Card,0,7566.58,12,
27,Brittany Peterson,1027,GL,2797.06,2022-03-31,2023-02-24,2023-03-31,,2898.33,69,Retail,5062628.88,Cheque,0,2297.06,12,
28,Sara Casey,1028,GL,5628.11,2022-04-30,2023-01-25,2023-04-30,,5822.03,59,Consulting,597405.8,Cheque,0,5128.11,12,
29,Patrick Underwood,1029,GL,6331.73,2022-05-31,2022-12-28,2023-05-31,,6217.19,33,Manufacturing,445624.37,Credit Card,1,5831.73,12,
30,Cindy Duke,1030,GL,1418.05,2022-06-30,2023-02-10,2023-06-30,,1464.69,62,Construction,5556483.62,Cheque,0,918.05,12,
31,Mr. James Lucas,1031,GL,6467.9,2022-07-31,2023-01-17,2023-07-31,,6168.44,50,Retail,4437968.27,Cheque,1,5967.9,12,
32,Angela Edwards,1032,GL,2534.72,2022-08-31,,2023-08-31,2023-09-01,2559.12,19,Construction,8407885.91,ACH Transfer,0,2034.72,12,
33,Rebecca Mosley,1033,GL,1585.46,2022-09-30,,2023-09-30,2023-10-01,1542.65,86,Manufacturing,1690727.89,Credit Card,0,1085.46,12,
34,Jeffery Johnston,1034,GL,9539.97,2022-10-31,2023-05-16,2023-10-31,,9177.99,69,Retail,347219.45,Cheque,0,9039.97,12,
35,Denise Palmer DVM,1035,GL,9690.69,2022-11-30,2023-04-30,2023-11-30,,9280.73,66,Consulting,4545483.8,ACH Transfer,0,9190.69,12,
36,Barbara Copeland,1036,GL,8275.58,2022-12-31,2023-08-06,2023-12-31,,8438.02,94,Technology,2451037.71,ACH Transfer,1,7775.58,12,
37,Christopher Reyes,1037,GL,3741.52,2023-01-31,,2024-01-31,2024-02-01,3681.61,47,Consulting,591182.3,Credit Card,1,3241.52,12,
38,Carlos Gomez,1038,GL,1879.05,2023-02-28,,2024-02-28,2024-02-29,1921.28,39,Consulting,7273523.04,Credit Card,0,1379.05,12,
39,Brian Sanchez,1039,GL,7158.1,2023-03-31,,2024-03-31,2024-04-01,6846.98,68,Technology,1204770.7,ACH Transfer,1,6658.1,12,
40,Timothy Flores,1040,GL,4961.37,2023-04-30,2023-07-01,2024-04-30,,4869.73,33,Technology,6122363.05,Credit Card,0,4461.37,12,
41,Michael Lin,1041,GL,2098.34,2023-05-31,2023-10-08,2024-05-31,,2106.63,13,Technology,2882392.53,Credit Card,0,1598.34,12,
