quoteId,claimId,customerId,customerName,cancellationDate,cancelReasonDescription,controllingStateOrProvinceCode,effectiveDate,expirationDate,id,lineOfBusinessCode,number,originalEffectiveDate,parentEntityId,parentEntityTypeName,statusCode,renewalPremium,numberOfEmployees,businessIndustry,annualRevenue,paymentMethod,claimsCount,durationInMonths,totalPremium,claimAmount,givenName,surname
Q1001,C1001,1,Sara Rodriguez,1/31/2021,Cancellation due to non-payment,NY,1/31/2020,2/1/2021,P1001,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,4233.23704728161,92,Consulting,2564722,Credit Card,1,12,4370.86106962626,3870.86106962626,Sara,Rodriguez
Q1002,C1002,2,Jessica Aguilar,2/28/2021,Cancellation due to non-payment,NY,2/29/2020,3/1/2021,P1002,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,9596.47109953934,7,Retail,6659442,Cheque,1,12,9556.42875768924,9056.42875768924,Jessica,Aguilar
Q1003,C1003,3,Kathleen Mata,3/31/2021,Cancellation due to non-payment,NY,3/31/2020,4/1/2021,P1003,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,7870.93474312707,35,Consulting,5730761,Cheque,1,12,7587.94547630264,7087.94547630264,Kathleen,Mata
Q1004,C1004,4,Debra Mclaughlin,4/30/2021,Cancellation due to non-payment,NY,4/30/2020,5/1/2021,P1004,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,6536.26990505598,55,Construction,3001092,Cheque,1,12,6387.92635777332,5887.92635777332,Debra,Mclaughlin
Q1005,C1005,5,Sharon Johnson,5/31/2021,Cancellation due to non-payment,NY,5/31/2020,6/1/2021,P1005,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,2477.8702069197,92,Retail,1822907,Credit Card,1,12,2404.16776398192,1904.16776398192,Sharon,Johnson
Q1006,C1006,6,Thomas Hill,6/30/2021,Cancellation due to non-payment,NY,6/30/2020,7/1/2021,P1006,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,2442.12142131156,14,Construction,2970574,ACH Transfer,1,12,2403.95068302582,1903.95068302582,Thomas,Hill
Q1007,C1007,7,Lisa Lee,7/31/2021,Cancellation due to non-payment,NY,7/31/2020,8/1/2021,P1007,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,1552.03147162782,10,Retail,6982799,Credit Card,1,12,1522.75250951379,1022.75250951379,Lisa,Lee
Q1008,C1008,8,Patricia Hernandez,8/31/2021,Cancellation due to non-payment,NY,8/31/2020,9/1/2021,P1008,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,9102.72332636574,80,Consulting,8052017,ACH Transfer,1,12,8795.58531197441,8295.58531197441,Patricia,Hernandez
Q1009,C1009,9,Alyssa Davis,9/30/2021,Cancellation due to non-payment,NY,9/30/2020,10/1/2021,P1009,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,6249.57142055991,16,Technology,7021983,Cheque,1,12,6410.03510568887,5910.03510568887,Alyssa,Davis
Q1010,C1010,10,Leah Eaton,10/31/2021,Cancellation due to non-payment,NY,10/31/2020,11/1/2021,P1010,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,7364.85659260058,54,Manufacturing,6626925,ACH Transfer,1,12,7372.6532001644,6872.6532001644,Leah,Eaton
Q1011,C1011,11,Amy Gibson,11/30/2021,Cancellation due to non-payment,NY,11/30/2020,12/1/2021,P1011,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,1152.21650645505,95,Construction,5465986,Cheque,1,12,1185.26044866222,685.26044866222,Amy,Gibson
Q1012,C1012,12,Christopher Mills,12/31/2021,Cancellation due to non-payment,NY,12/31/2020,1/1/2022,P1012,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,10203.6500752437,89,Consulting,6859291,Cheque,1,12,9729.18866945795,9229.18866945795,Christopher,Mills
Q1013,C1013,13,Jacqueline Thompson,1/31/2022,Cancellation due to non-payment,NY,1/31/2021,2/1/2022,P1013,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,8869.07823763319,77,Technology,8443528,ACH Transfer,1,12,8491.98376720379,7991.98376720379,Jacqueline,Thompson
Q1014,C1014,14,Nicole Brown,2/28/2022,Cancellation due to non-payment,NY,2/28/2021,3/1/2022,P1014,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,2776.97674609269,70,Consulting,5632388,Cheque,1,12,2911.05199610448,2411.05199610448,Nicole,Brown
Q1015,C1015,15,Lauren Boyer,3/31/2022,Cancellation due to non-payment,NY,3/31/2021,4/1/2022,P1015,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,2690.6230512166,44,Construction,8120364,ACH Transfer,1,12,2636.4247048639,2136.4247048639,Lauren,Boyer
Q1016,C1016,16,Nancy Phillips,4/30/2022,Cancellation due to non-payment,NY,4/30/2021,5/1/2022,P1016,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,2763.35863372192,73,Manufacturing,7551747,Cheque,1,12,2650.6405886809,2150.6405886809,Nancy,Phillips
Q1017,C1017,17,Christopher Robinson,5/31/2022,Cancellation due to non-payment,NY,5/31/2021,6/1/2022,P1017,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,3618.77349503904,45,Consulting,3981857,Credit Card,1,12,3738.18018663583,3238.18018663583,Christopher,Robinson
Q1018,C1018,18,Deborah Nixon,6/30/2022,Cancellation due to non-payment,NY,6/30/2021,7/1/2022,P1018,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,5761.6916348035,56,Retail,4637871,Credit Card,1,12,5722.80788469014,5222.80788469014,Deborah,Nixon
Q1019,C1019,19,Brian Green,7/31/2022,Cancellation due to non-payment,NY,7/31/2021,8/1/2022,P1019,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,5090.57528794036,84,Technology,391464,Cheque,1,12,4887.50516777904,4387.50516777904,Brian,Green
Q1020,C1020,20,William Martinez,8/31/2022,Cancellation due to non-payment,NY,8/31/2021,9/1/2022,P1020,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,3452.30119889288,82,Consulting,4839400,Cheque,1,12,3621.06226178237,3121.06226178237,William,Martinez
Q1021,C1021,21,Bethany Campbell,9/30/2022,Cancellation due to non-payment,NY,9/30/2021,10/1/2022,P1021,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,6635.13102501875,57,Technology,218581,ACH Transfer,1,12,6506.67605250141,6006.67605250141,Bethany,Campbell
Q1022,C1022,22,Daniel Henry,10/31/2022,Cancellation due to non-payment,NY,10/31/2021,11/1/2022,P1022,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,2209.73793421171,21,Retail,5470807,Credit Card,1,12,2255.44474586837,1755.44474586837,Daniel,Henry
Q1023,C1023,23,Savannah Hill,11/30/2022,Cancellation due to non-payment,NY,11/30/2021,12/1/2022,P1023,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,3783.32802595878,68,Manufacturing,3952256,ACH Transfer,1,12,3629.30183681696,3129.30183681696,Savannah,Hill
Q1024,C1024,24,Anthony Coleman,12/31/2022,Cancellation due to non-payment,NY,12/31/2021,1/1/2023,P1024,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,4499.68240445749,50,Manufacturing,8827148,Cheque,1,12,4297.25658964322,3797.25658964322,Anthony,Coleman
Q1025,C1025,25,Blake Fields,1/31/2023,Cancellation due to non-payment,NY,1/31/2022,2/1/2023,P1025,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,5331.41145647497,33,Retail,601590,Cheque,1,12,5104.62985795332,4604.62985795332,Blake,Fields
Q1026,C1026,26,Joshua Huerta,2/28/2023,Cancellation due to non-payment,NY,2/28/2022,3/1/2023,P1026,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,8045.78333469924,91,Technology,9907020,ACH Transfer,1,12,8066.58365253712,7566.58365253712,Joshua,Huerta
Q1027,C1027,27,Kaitlyn Shaw,3/31/2023,Cancellation due to non-payment,NY,3/31/2022,4/1/2023,P1027,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,2898.32968740727,7,Consulting,3460492,Cheque,1,12,2797.06403942523,2297.06403942523,Kaitlyn,Shaw
Q1028,C1028,28,Gabriel Woodard,4/30/2023,Cancellation due to non-payment,NY,4/30/2022,5/1/2023,P1028,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,5822.02613539129,70,Retail,972328,Credit Card,1,12,5628.1099457225,5128.1099457225,Gabriel,Woodard
Q1029,C1029,29,Ashley Diaz,5/31/2023,Cancellation due to non-payment,NY,5/31/2022,6/1/2023,P1029,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,6217.19040344685,15,Construction,4909479,ACH Transfer,1,12,6331.73111975838,5831.73111975838,Ashley,Diaz
Q1030,C1030,30,Jeffrey Johnson,6/30/2023,Cancellation due to non-payment,NY,6/30/2022,7/1/2023,P1030,GL,POLICY987654321,2022/11/04,ENTITY456,Business,ACTIVE,1464.69569546691,82,Technology,3210691,Credit Card,1,12,1418.05371447997,918.05371447997,Jeffrey,Johnson
